fra;strate2;jour;tx_indic_7J_DC;tx_indic_7J_hosp;tx_indic_7J_SC;tx_prev_hosp;tx_prev_SC
FR;0;2020-04-10;5.17470052705807;22.3303302041518;3.47016341132112;49.5492847760773;10.4000603739894
FR;0;2020-04-11;5.09871154724812;21.3871728665107;3.21537683195834;48.4407396588497;10.0305453349136
FR;0;2020-04-12;4.87223458781454;21.1294063271554;3.07978865229745;48.4466995788348;9.93369663515582
FR;0;2020-04-13;4.69492696825799;19.1104834322047;2.75795297310236;48.8489941778287;9.8845272952788
FR;0;2020-04-14;4.6040381884853;18.039187814884;2.56723553357934;49.7698018155257;9.8562176753496
FR;0;2020-04-15;4.58317846853747;17.2062889969671;2.42121749394454;48.4317997788721;9.45094311636319
FR;0;2020-04-16;4.39842094899955;16.1722428795532;2.31393893421284;47.5288719011303;9.15592707710103
FR;0;2020-04-17;4.32541192918214;15.3900033815096;2.18282069454077;46.9775793025091;8.74320261813325
FR;0;2020-04-18;4.15853416959951;14.5213450436821;2.13365135466374;45.1836433869957;8.32302825918411
FR;0;2020-04-19;4.03933576989762;13.6780163657913;1.98316337504011;44.8290281478826;8.20680981947477
FR;0;2020-04-20;3.90374759023673;13.752515365605;1.9384639751519;45.7379159456095;8.21127975946359
FR;0;2020-04-21;3.71750009070253;13.1297037271626;1.78350605553945;44.5667916685385;7.77471562055544
FR;0;2020-04-22;3.5223127111907;12.2491255493649;1.70006717574813;43.5789349310091;7.45585990135289
FR;0;2020-04-23;3.38076461154471;11.3596074915896;1.53914933615059;42.7385862131108;7.15935388209446
FR;0;2020-04-24;3.16471751208504;10.3941004540044;1.46912027632573;41.7984088354622;6.85092802286583
FR;0;2020-04-25;2.99932973249868;9.8279080554204;1.34396195663875;40.1519809395799;6.51568252370428
FR;0;2020-04-26;2.85927161284896;9.44051325638928;1.28883269677663;39.8808045802581;6.42777370392414
FR;0;2020-04-27;2.74156319314335;8.8758108378016;1.1890040370263;40.4916963787303;6.42926368392041
FR;0;2020-04-28;2.6149148934601;8.19786993949713;1.11748499720517;39.0762153822704;6.01206928496382
FR;0;2020-04-29;2.45846699385137;7.7091565007194;1.02957617742503;37.832082085382;5.71854322569792
FR;0;2020-04-30;2.33777861415322;7.24875268187087;0.98785673752937;36.8814748477594;5.47865644629788
FR;0;2020-05-01;2.15004113462275;6.46800316382352;0.891008037771589;35.0756190922759;5.17023058706925
FR;0;2020-05-02;2.0174329149544;6.24301618438622;0.865678377834938;35.0026100724585;5.09275162726303
FR;0;2020-05-03;1.92952409517426;6.02696908492655;0.823958937939279;34.8551020528274;5.02421254743445
FR;0;2020-05-04;1.83118541542021;5.56358530608547;0.768829678077157;35.1918375319852;4.98100312754251
FR;0;2020-05-05;1.72241687569224;5.27601916680468;0.770319658073431;33.8568154553241;4.72025662819464
FR;0;2020-05-06;1.68218741579285;4.96759330757605;0.721150318196403;32.6558915783276;4.38650110902936
FR;0;2020-05-07;1.54510925613568;4.62042796844431;0.674960938311923;31.4683775212976;4.14065440964422
FR;0;2020-05-08;1.52871947617667;4.37905120904799;0.65708117835664;29.8681390052998;3.90076763024418
FR;0;2020-05-09;1.48551005628474;4.22260330943927;0.640691398397631;29.7325508256389;3.84563837038206
FR;0;2020-05-10;1.40654111648224;4.14363436963677;0.63175151841999;29.6655017258066;3.80242895049013
FR;0;2020-05-11;1.29330263676545;3.92311733018828;0.601951918494518;29.8934686652364;3.7756093105572
FR;0;2020-05-12;1.2456232768847;3.64449107088513;0.552782578617491;28.8221730479157;3.50592293123169
FR;0;2020-05-13;1.1666543370822;3.44781371137702;0.521492998695746;27.728527730651;3.29583575175712
FR;0;2020-05-14;1.11450503721262;3.23772653190245;0.496163338759096;26.7823904330172;3.11107823221919
FR;0;2020-05-15;1.05341585736541;3.31967543169749;0.487223458781454;25.8362531353835;2.9754900525583
FR;0;2020-05-16;1.0087164574772;3.1781273320515;0.451463938870889;24.6755587182864;2.79222251301665
FR;0;2020-05-17;0.996796617507012;3.07829867230118;0.411234478971503;24.5220907786703;2.74305317313962
FR;0;2020-05-18;0.978916857551729;2.97847001255085;0.421664338945418;24.7172781581821;2.77583273305764
FR;0;2020-05-19;0.965507037585267;2.80563233298311;0.390374759023673;23.7219715206714;2.57170547356817
FR;0;2020-05-20;0.929747517674701;2.66259425334085;0.371005019072117;22.7266648831606;2.4286673939259
FR;0;2020-05-21;0.932727477667249;2.42121749394454;0.323325659191363;21.4959414062387;2.26774955432836
FR;0;2020-05-22;0.885048117786495;2.3273487541793;0.317365739206268;21.5823602460225;2.25582971435817
FR;0;2020-05-23;0.847798617879656;2.25284975436562;0.315875759209995;20.8835596277702;2.16345095458921
FR;0;2020-05-24;0.768829678077157;2.15451107461157;0.317365739206268;20.7956508079901;2.12620145468237
FR;0;2020-05-25;0.74498999813678;2.00700305498049;0.290546099273344;20.9133592276957;2.13216137466746
FR;0;2020-05-26;0.688370758278385;1.88929463527487;0.292036079269618;20.0223511899241;2.04276257489105
FR;0;2020-05-27;0.658571158352914;1.79691587550591;0.281606219295703;19.1983922519848;1.93101407517053
FR;0;2020-05-28;0.630261538423716;1.77605615555808;0.289056119277071;18.4340325138965;1.82075555544629
FR;0;2020-05-29;0.621321658446075;1.62258821594191;0.259256519351599;17.674142715797;1.70453711573695
FR;0;2020-05-30;0.594502018513151;1.54659923613196;0.236906819407496;16.884453317772;1.62109823594563
FR;0;2020-05-31;0.603441898490792;1.49593991625865;0.224986979437308;16.7533350780999;1.58980865602389
FR;0;2020-06-01;0.563212438591406;1.38270143654186;0.192207419519289;16.726515438167;1.56298901609096
FR;0;2020-06-02;0.561722458595132;1.30671245673191;0.163897799590092;16.6833060182751;1.5495791961245
FR;0;2020-06-03;0.533412838665934;1.24860323687724;0.153467939616177;15.8742468802985;1.45720043635554
FR;0;2020-06-04;0.496163338759096;1.20390383698904;0.144528059638535;15.2186556819381;1.36482167658658
FR;0;2020-06-05;0.470833678822445;1.1606944170971;0.15048797962363;14.6122338234548;1.28138279679526
FR;0;2020-06-06;0.451463938870889;1.138344717153;0.15048797962363;13.8851235852733;1.21284371696668
FR;0;2020-06-07;0.420174358949144;1.10109521724616;0.147508019631082;13.7823149655304;1.19198399701885
FR;0;2020-06-08;0.399314639001314;1.09960523724989;0.151977959619903;13.8434041453776;1.1949639570114
FR;0;2020-06-09;0.365045099087022;1.04596595738404;0.147508019631082;13.3830003265291;1.12493489718654
FR;0;2020-06-10;0.329285579176457;1.01318639746602;0.157937879604997;12.9658059275725;1.09364531726479
FR;0;2020-06-11;0.314385779213721;0.974446917562908;0.159427859601271;12.603740788478;1.04596595738404
FR;0;2020-06-12;0.302465939243533;0.934217457663522;0.148997999627356;12.189526349514;1.00126655749583
FR;0;2020-06-13;0.281606219295703;0.888028077779042;0.144528059638535;11.8229912704307;0.965507037585267
FR;0;2020-06-14;0.281606219295703;0.914847717711966;0.143038079642262;11.7857417705239;0.955077177611352
FR;0;2020-06-15;0.271176359321788;0.898457937752957;0.147508019631082;11.8453409703748;0.961037097596446
FR;0;2020-06-16;0.247336679381411;0.914847717711966;0.156447899608724;11.4832758312803;0.923787597689607
FR;0;2020-06-17;0.250316639373958;0.87461825781258;0.13409819966462;11.0884311322678;0.886538097782768
FR;0;2020-06-18;0.236906819407496;0.861208437846118;0.126648299683253;10.784475213028;0.850778577872203
FR;0;2020-06-19;0.224986979437308;0.858228477853571;0.113238479716791;10.4924391337584;0.81203909796909
FR;0;2020-06-20;0.22200701944476;0.879088197801401;0.105788579735423;10.1661335145745;0.788199418028713
FR;0;2020-06-21;0.211577159470846;0.873128277816306;0.10876853972797;10.1661335145745;0.785219458036166
FR;0;2020-06-22;0.187737479530469;0.859718457849844;0.104298599739149;10.1974230944962;0.794159338013808
FR;0;2020-06-23;0.187737479530469;0.83289881791692;0.0864188397838665;9.87558741530116;0.753929878114421
FR;0;2020-06-24;0.189227459526742;0.822468957943005;0.0953587197615078;9.61633089594956;0.727110238181497
FR;0;2020-06-25;0.187737479530469;0.810549117972817;0.105788579735423;9.3943238765048;0.710720458222488
FR;0;2020-06-26;0.180287579549101;0.809059137976543;0.114728459713064;9.11420763720537;0.688370758278385
FR;0;2020-06-27;0.17581763956028;0.779259538051072;0.117708419705611;8.85495111785377;0.664531078338008
FR;0;2020-06-28;0.153467939616177;0.762869758092063;0.123668339690705;8.84452125787985;0.674960938311923
FR;0;2020-06-29;0.153467939616177;0.753929878114421;0.116218439709338;8.90710041772334;0.679430878300743
FR;0;2020-06-30;0.147508019631082;0.734560138162865;0.120688379698158;8.73277275815934;0.652611238367819
FR;0;2020-07-01;0.13409819966462;0.718170358203856;0.114728459713064;8.44967655886736;0.618341698453527
FR;0;2020-07-02;0.128138279679526;0.697310638256026;0.104298599739149;8.23511943940397;0.600461938498245
FR;0;2020-07-03;0.105788579735423;0.673470958315649;0.0983386797540549;8.02205229993685;0.576622258557868
FR;0;2020-07-04;0.105788579735423;0.67794089830447;0.0968486997577814;7.85964448034303;0.563212438591406
FR;0;2020-07-05;0.113238479716791;0.667511038330555;0.0893987997764136;7.85517454035421;0.570662338572774
FR;0;2020-07-06;0.114728459713064;0.671980978319376;0.0938687397652343;7.90285390023496;0.581092198546688
FR;0;2020-07-07;0.104298599739149;0.663041098341734;0.105788579735423;7.73448616065605;0.570662338572774
FR;0;2020-07-08;0.104298599739149;0.639201418401357;0.105788579735423;7.56760840107341;0.546822658632397
FR;0;2020-07-09;0.104298599739149;0.670490998323102;0.105788579735423;7.46330980133426;0.537882778654755
FR;0;2020-07-10;0.113238479716791;0.704760538237394;0.111748499720517;7.32772162167337;0.528942898677114
FR;0;2020-07-11;0.105788579735423;0.6988006182523;0.10876853972797;7.15041400211682;0.511063138721831
FR;0;2020-07-12;0.102808619742876;0.706250518233667;0.107278559731696;7.15041400211682;0.503613238740463
FR;0;2020-07-13;0.111748499720517;0.746479978133054;0.114728459713064;7.2413027818895;0.514043098714378
FR;0;2020-07-14;0.105788579735423;0.736050118159139;0.110258519724243;7.11465448220625;0.50212325874419
FR;0;2020-07-15;0.104298599739149;0.783729478039893;0.117708419705611;7.1966033820013;0.518513038703199
FR;0;2020-07-16;0.0983386797540549;0.794159338013808;0.128138279679526;7.07293504231059;0.508083178729284
FR;0;2020-07-17;0.0953587197615078;0.801609237995175;0.128138279679526;6.96118654259007;0.484243498788907
FR;0;2020-07-18;0.101318639746602;0.809059137976543;0.141548099645988;6.78685888302607;0.482753518792633
FR;0;2020-07-19;0.102808619742876;0.797139298006355;0.140058119649715;6.74662942312668;0.472323658818719
FR;0;2020-07-20;0.0968486997577814;0.798629278002628;0.131118239672073;6.84496810288074;0.478283578803813
FR;0;2020-07-21;0.101318639746602;0.838858737902014;0.135588179660894;6.75407932310805;0.479773558800086
FR;0;2020-07-22;0.0923787597689607;0.831408837920647;0.128138279679526;6.54995206361857;0.457423858855983
FR;0;2020-07-23;0.0953587197615078;0.816509037957911;0.123668339690705;6.25940596434523;0.451463938870889
FR;0;2020-07-24;0.0998286597503285;0.847798617879656;0.1296282596758;6.17745706455018;0.444014038889521
FR;0;2020-07-25;0.0879088197801401;0.876108237808854;0.117708419705611;6.04037890489301;0.424644298937965
FR;0;2020-07-26;0.0789689398024987;0.911867757719419;0.126648299683253;6.07911838479613;0.430604218923059
FR;0;2020-07-27;0.0759889798099516;0.92080763769706;0.141548099645988;6.19235686451292;0.454443898863436
FR;0;2020-07-28;0.0789689398024987;0.922297617693334;0.140058119649715;6.1029580647365;0.438054118904427
FR;0;2020-07-29;0.0879088197801401;0.955077177611352;0.140058119649715;6.06272860483712;0.436564138908153
FR;0;2020-07-30;0.0908887797726872;0.992326677518191;0.144528059638535;6.0299490449191;0.436564138908153
FR;0;2020-07-31;0.0923787597689607;1.00424651748838;0.15048797962363;5.96736988507561;0.43507415891188
FR;0;2020-08-01;0.0998286597503285;1.00275653749211;0.160917839597545;5.83178170541472;0.426134278934238
FR;0;2020-08-02;0.102808619742876;1.0087164574772;0.159427859601271;5.87946106529547;0.432094198919332
FR;0;2020-08-03;0.104298599739149;1.00722647748093;0.148997999627356;5.98822960502344;0.449973958874615
FR;0;2020-08-04;0.0983386797540549;1.0876853972797;0.153467939616177;5.98077970504207;0.454443898863436
FR;0;2020-08-05;0.0908887797726872;1.12344491719026;0.166877759582639;5.96885986507188;0.442524058893247
FR;0;2020-08-06;0.0908887797726872;1.14430463713809;0.172837679567733;5.97630976505325;0.452953918867162
FR;0;2020-08-07;0.0849288597875929;1.15175453711946;0.169857719575186;5.96140996509051;0.448483978878342
FR;0;2020-08-08;0.0789689398024987;1.17410423706357;0.171347699571459;5.93459032515759;0.452953918867162
FR;0;2020-08-09;0.0893987997764136;1.19794391700394;0.17581763956028;5.99716948500108;0.461893798844804
FR;0;2020-08-10;0.0864188397838665;1.22476355693687;0.172837679567733;6.10742800472532;0.461893798844804
FR;0;2020-08-11;0.0953587197615078;1.24115333689588;0.17581763956028;6.1089179847216;0.457423858855983
FR;0;2020-08-12;0.107278559731696;1.29479261676172;0.192207419519289;6.04782880487438;0.464873758837351
FR;0;2020-08-13;0.110258519724243;1.33055213667229;0.207107219482025;6.06123862484084;0.473813638814992
FR;0;2020-08-14;0.110258519724243;1.3469419166313;0.201147299496931;6.04931878487065;0.464873758837351
FR;0;2020-08-15;0.116218439709338;1.37227157656795;0.202637279493204;6.01504924495636;0.457423858855983
FR;0;2020-08-16;0.116218439709338;1.40654111648224;0.211577159470846;6.11487790470669;0.473813638814992
FR;0;2020-08-17;0.122178359694432;1.4199509364487;0.220517039448487;6.24301618438622;0.484243498788907
FR;0;2020-08-18;0.126648299683253;1.42442087643752;0.24286673939259;6.24301618438622;0.50212325874419
FR;0;2020-08-19;0.117708419705611;1.42889081642634;0.245846699385137;6.24152620438994;0.500633278747916
FR;0;2020-08-20;0.120688379698158;1.47210023631828;0.24286673939259;6.28622560427815;0.506593198733011
FR;0;2020-08-21;0.120688379698158;1.49146997626983;0.269686379325514;6.30112540424089;0.518513038703199
