fra;jour;clage_90;tx_indic_7J_DC;tx_indic_7J_hosp;tx_indic_7J_SC;tx_prev_hosp;tx_prev_SC
FR;2020-06-15;69;0.349821470348411;1.17440065045538;0.274859726702323;16.7289624570187;2.51121841214395
FR;2020-06-16;69;0.312340598525367;1.26185601804248;0.312340598525367;16.4665963542574;2.48623116426192
FR;2020-06-17;69;0.312340598525367;1.17440065045538;0.249872478820294;16.2417111233191;2.42376304455685
FR;2020-06-18;69;0.262366102761308;1.19938789833741;0.262366102761308;15.9543577726758;2.34880130091076
FR;2020-06-19;69;0.274859726702323;1.16190702651437;0.249872478820294;15.6295235502094;2.26134593332366
FR;2020-06-20;69;0.237378854879279;1.13691977863234;0.21239160699725;15.0798040968047;2.17389056573656
FR;2020-06-21;69;0.21239160699725;1.17440065045538;0.262366102761308;15.0922977207457;2.23635868544163
FR;2020-06-22;69;0.199897983056235;1.22437514621944;0.274859726702323;15.1922467122739;2.27383955726467
FR;2020-06-23;69;0.224885230938264;1.1868942743964;0.262366102761308;14.9048933616305;2.22386506150061
FR;2020-06-24;69;0.199897983056235;1.16190702651437;0.312340598525367;14.455122899754;2.13640969391351
FR;2020-06-25;69;0.237378854879279;1.09943890680929;0.349821470348411;14.0678205575825;2.08643519814945
FR;2020-06-26;69;0.199897983056235;1.12442615469132;0.349821470348411;13.5430883520599;1.97399258268032
FR;2020-06-27;69;0.21239160699725;1.11193253075031;0.337327846407397;13.2182541295935;1.93651171085728
FR;2020-06-28;69;0.199897983056235;1.09943890680929;0.324834222466382;13.2182541295935;1.96149895873931
FR;2020-06-29;69;0.18740435911522;0.949515419517116;0.287353350643338;13.2057605056525;1.94900533479829
FR;2020-06-30;69;0.199897983056235;0.974502667399145;0.287353350643338;13.0433433944193;1.89903083903423
FR;2020-07-01;69;0.21239160699725;0.999489915281175;0.262366102761308;12.5560920607198;1.77409459962409
FR;2020-07-02;69;0.18740435911522;0.98699629134016;0.21239160699725;12.2437514621944;1.74910735174206
FR;2020-07-03;69;0.224885230938264;0.962009043458131;0.224885230938264;11.94390448761;1.62417111233191
FR;2020-07-04;69;0.237378854879279;0.98699629134016;0.262366102761308;11.5940830172616;1.59918386444988
FR;2020-07-05;69;0.237378854879279;0.962009043458131;0.237378854879279;11.4941340257335;1.61167748839089
FR;2020-07-06;69;0.224885230938264;1.03697078710422;0.237378854879279;11.5316148975566;1.59918386444988
FR;2020-07-07;69;0.174910735174206;0.949515419517116;0.21239160699725;11.2942360426773;1.51172849686278
FR;2020-07-08;69;0.174910735174206;0.924528171635087;0.18740435911522;11.1068316835621;1.42427312927567
FR;2020-07-09;69;0.162417111233191;0.874553675871028;0.18740435911522;10.9319209483879;1.3618050095706
FR;2020-07-10;69;0.124936239410147;0.887047299812043;0.174910735174206;10.7195293413906;1.29933688986553
FR;2020-07-11;69;0.0999489915281175;0.824579180106969;0.124936239410147;10.3322269992191;1.23686877016045
FR;2020-07-12;69;0.0874553675871028;0.824579180106969;0.112442615469132;10.3072397513371;1.21188152227842
FR;2020-07-13;69;0.149923487292176;0.862060051930013;0.137429863351162;10.3822014949832;1.19938789833741
FR;2020-07-14;69;0.174910735174206;0.874553675871028;0.174910735174206;10.2572652555731;1.21188152227842
FR;2020-07-15;69;0.174910735174206;0.98699629134016;0.21239160699725;10.4571632386293;1.26185601804248
FR;2020-07-16;69;0.162417111233191;1.03697078710422;0.237378854879279;10.1573162640449;1.26185601804248
FR;2020-07-17;69;0.21239160699725;1.09943890680929;0.249872478820294;10.0573672725168;1.19938789833741
FR;2020-07-18;69;0.199897983056235;1.14941340257335;0.299846974584352;9.88245653734262;1.16190702651437
FR;2020-07-19;69;0.21239160699725;1.14941340257335;0.312340598525367;9.83248204157856;1.17440065045538
FR;2020-07-20;69;0.18740435911522;1.17440065045538;0.287353350643338;9.93243103310668;1.17440065045538
FR;2020-07-21;69;0.162417111233191;1.24936239410147;0.299846974584352;9.85746928946059;1.21188152227842
FR;2020-07-22;69;0.137429863351162;1.2743496419835;0.274859726702323;9.83248204157856;1.19938789833741
FR;2020-07-23;69;0.174910735174206;1.28684326592451;0.274859726702323;9.55762231487624;1.19938789833741
FR;2020-07-24;69;0.124936239410147;1.23686877016045;0.287353350643338;9.25777534029188;1.12442615469132
FR;2020-07-25;69;0.124936239410147;1.24936239410147;0.237378854879279;8.95792836570753;1.08694528286828
FR;2020-07-26;69;0.0999489915281175;1.29933688986553;0.262366102761308;9.05787735723565;1.12442615469132
FR;2020-07-27;69;0.0624681197050734;1.34931138562959;0.337327846407397;9.28276258817391;1.21188152227842
FR;2020-07-28;69;0.0624681197050734;1.33681776168857;0.324834222466382;9.18281359664579;1.17440065045538
FR;2020-07-29;69;0.0624681197050734;1.24936239410147;0.312340598525367;9.08286460511768;1.17440065045538
FR;2020-07-30;69;0.0499744957640587;1.28684326592451;0.274859726702323;8.89546024600246;1.13691977863234
FR;2020-07-31;69;0.0499744957640587;1.2743496419835;0.274859726702323;8.73304313476927;1.11193253075031
FR;2020-08-01;69;0.0874553675871028;1.22437514621944;0.337327846407397;8.45818340806694;1.13691977863234
FR;2020-08-02;69;0.0999489915281175;1.24936239410147;0.299846974584352;8.55813239959506;1.11193253075031
FR;2020-08-03;69;0.124936239410147;1.1868942743964;0.224885230938264;8.70805588688724;1.12442615469132
FR;2020-08-04;69;0.137429863351162;1.22437514621944;0.274859726702323;8.68306863900521;1.21188152227842
FR;2020-08-05;69;0.149923487292176;1.28684326592451;0.324834222466382;8.62060051930013;1.17440065045538
FR;2020-08-06;69;0.124936239410147;1.29933688986553;0.387302342171455;8.60810689535912;1.22437514621944
FR;2020-08-07;69;0.124936239410147;1.32432413774756;0.374808718230441;8.55813239959506;1.21188152227842
FR;2020-08-08;69;0.0874553675871028;1.33681776168857;0.312340598525367;8.48317065594897;1.1868942743964
FR;2020-08-09;69;0.0874553675871028;1.29933688986553;0.362315094289426;8.57062602353607;1.23686877016045
FR;2020-08-10;69;0.0749617436460881;1.3618050095706;0.39979596611247;8.74553675871028;1.24936239410147
FR;2020-08-11;69;0.0999489915281175;1.46175400109872;0.374808718230441;8.82049850235637;1.1868942743964
FR;2020-08-12;69;0.0999489915281175;1.58669024050887;0.337327846407397;8.89546024600246;1.12442615469132
