reg;jour;tx_indic_7J_DC;tx_indic_7J_hosp;tx_indic_7J_SC;tx_prev_hosp;tx_prev_SC
44;2021-12-04;0.8708672586024;10.7044100536545;2.48560030059435;20.5379528487066;3.991474935261
44;2021-12-05;1.0160118017028;10.9221268683051;2.48560030059435;21.0641018174455;4.1366194783614
44;2021-12-06;1.14301327691565;10.6136947142167;2.66703097946985;22.0075413475981;4.4994808361124
44;2021-12-07;1.1974424805783;11.3757035654938;2.88474779412045;22.6606917915499;4.717197650763
44;2021-12-08;1.21558554846585;11.4664189049316;2.81217552257025;23.1324115566262;4.80791299020075
44;2021-12-09;1.3425870236787;11.4119897012689;2.66703097946985;23.8399912042407;4.77162685442565
44;2021-12-10;1.5965899741044;11.6841357195822;2.9754631335582;24.2572817656543;5.0437728727389
44;2021-12-11;1.75987758509235;11.7567079911324;2.9391769977831;24.0939941546664;4.84419912597585
44;2021-12-12;1.79616372086745;12.0107109415581;3.1931799482088;24.3479971050921;5.1526312800642
44;2021-12-13;1.94130826396785;12.2465708240962;2.9754631335582;25.7087271966583;5.2614896873895
44;2021-12-14;1.86873599241765;11.9381386700079;2.902890862008;25.599868789333;5.46106343415255
44;2021-12-15;1.90502212819275;12.0469970773332;3.13875074454615;25.9083009434214;5.60620797725295
44;2021-12-16;1.8868790603052;11.7204218553573;3.1568938124337;25.9990162828591;5.38849116260235
44;2021-12-17;1.75987758509235;11.6659926516946;2.92103392989555;26.2530192332848;5.60620797725295
44;2021-12-18;1.68730531354215;11.6297065159195;2.95732006567065;25.7994425360961;5.53363570570275
44;2021-12-19;1.6328761098795;11.5027050407067;2.77588938679515;25.9264440113089;5.56992184147785
44;2021-12-20;1.4877315667791;11.7748510590199;2.99360620144575;27.4323186459756;5.9509262671164
44;2021-12-21;1.57844690621685;11.811137194795;2.84846165834535;27.5956062569635;5.89649706345375
44;2021-12-22;1.6691622456546;11.5571342443693;2.66703097946985;27.0331711524495;5.93278319922885
44;2021-12-23;1.7780206529799;11.811137194795;2.8303185904578;26.7791682020238;5.93278319922885
44;2021-12-24;1.7417345172048;11.4301327691565;2.73960325102005;26.0353024186342;5.805781724016
44;2021-12-25;1.72359144931725;11.1761298187308;2.6851740473574;25.6361549251081;5.75135252035335
44;2021-12-26;1.814306788755;11.1035575471806;2.6126017758072;26.1623038938471;5.86021092767865
44;2021-12-27;1.79616372086745;11.1398436829557;2.63074484369475;27.7226077321764;6.0597846744417
44;2021-12-28;1.83244985664255;11.248702090281;2.59445870791965;27.9584676147145;5.9146401313413
44;2021-12-29;1.814306788755;11.7748510590199;2.540029504257;28.5209027192286;5.9872124028915
44;2021-12-30;1.79616372086745;12.1921416204336;2.66703097946985;28.5571888550037;6.11421387810435
44;2021-12-31;2.01388053551805;13.3895841010119;2.92103392989555;29.2647685026181;6.18678614965455
44;2022-01-01;2.05016667129315;13.9701622734135;2.8666047262329;29.02890862008;6.00535547077905
44;2022-01-02;1.90502212819275;14.4237389706022;2.8666047262329;29.9360620144575;5.9872124028915
44;2022-01-03;2.1408820107309;14.877315667791;2.70331711524495;31.9862286857506;6.18678614965455
44;2022-01-04;2.15902507861845;14.9861740751163;2.84846165834535;31.9136564142004;6.18678614965455
44;2022-01-05;2.12273894284335;14.7321711246906;2.8303185904578;31.405650513349;6.0597846744417
52;2020-03-07;0;0;0;0.447156962878344;0.0263033507575497
52;2020-03-08;0;0;0;0.473460313635894;0.0263033507575497
52;2020-03-09;0;0;0;0.499763664393444;0.0526067015150993
52;2020-03-10;0;0;0;0.526067015150993;0.0526067015150993
52;2020-03-11;0;0;0;0.76279717196894;0.0526067015150993
52;2020-03-12;0;0;0;0.973223978029337;0.0526067015150993
52;2020-03-13;0;0.894313925756688;0.0263033507575497;1.23625748560483;0.0526067015150993
52;2020-03-14;0;1.39407759015013;0.078910052272649;1.60450439621053;0.105213403030199
52;2020-03-15;0.0263033507575497;1.55189769469543;0.078910052272649;1.57820104545298;0.105213403030199
52;2020-03-16;0.0526067015150993;1.89384125454358;0.105213403030199;1.86753790378603;0.157820104545298
52;2020-03-17;0.0526067015150993;2.10426806060397;0.131516753787748;1.81493120227093;0.184123455302848
52;2020-03-18;0.078910052272649;2.49881832196722;0.263033507575497;2.39360491893702;0.315640209090596
52;2020-03-19;0.078910052272649;2.78815518030026;0.473460313635894;2.68294177727007;0.526067015150993
52;2020-03-20;0.131516753787748;3.18270544166351;0.683887119696291;3.31422219545126;0.710190470453841
52;2020-03-21;0.131516753787748;3.7087724568145;0.78910052272649;4.1296260689353;0.841707224241589
52;2020-03-22;0.131516753787748;4.97133329317689;1.23625748560483;5.52370365908543;1.26256083636238
52;2020-03-23;0.341943559848146;5.91825392044867;1.47298764242278;6.81256784620536;1.49929099318033
52;2020-03-24;0.394550261363245;7.39124156287145;1.73602114999828;8.18034208559794;1.65711109772563
52;2020-03-25;0.499763664393444;8.94313925756688;1.99905465757377;10.047879989384;1.89384125454358
52;2020-03-26;0.657583768938741;11.0211039674133;2.41990826969457;12.2310581022606;2.47251497120967
52;2020-03-27;0.920617276514238;12.967551923472;2.86706523257291;14.2301127598344;3.05118868787576
52;2020-03-28;1.18365078408973;13.9933826030164;3.07749203863331;15.3348534916514;3.26161549393616
52;2020-03-29;1.39407759015013;14.1248993568042;3.05118868787576;16.3606841711959;3.5509523522692
52;2020-03-30;1.49929099318033;15.2296400886213;3.20900879242106;18.280828776497;3.8665925613598
52;2020-03-31;1.68341444848318;15.6241903499845;3.34052554620881;18.5438622840725;4.0770193674202
52;2020-04-01;1.84123455302848;15.1507300363486;3.31422219545126;18.9647158961933;4.0770193674202
52;2020-04-02;2.05166135908887;15.3085501408939;3.62986240454185;20.2798834340708;4.76090648711649
52;2020-04-03;2.13057141136152;14.3616295136221;3.34052554620881;20.7270403969491;4.91872659166179
52;2020-04-04;1.97275130681622;14.0459893045315;3.13009874014841;21.3320174643728;4.81351318863159
52;2020-04-05;1.92014460530112;13.7303490954409;3.15640209090596;22.0159045840691;5.12915339772218
52;2020-04-06;1.99905465757377;13.2042820802899;3.10379538939086;23.4625888757343;5.31327685302503
52;2020-04-07;1.92014460530112;12.441484908321;2.84076188181536;22.9365218605833;4.99763664393443
